,Au-coated beam chamber,Barrel silicon,Barrel muRwell,Forward/backward silicon,Forward/backward MPGD,mRICH AeroGel,Forward AC-LGAD,Dual RICH,Backward AC-LGAD,Barrel AC-LGAD,Backward EMCal,Inner det. spt./service,DIRC,BECal,Active BCal Support,SC Magnet,Barrel HCal,Backward Field Return,Forward EMCal,Forward LHCal
52,0.5237541511254017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.5128921897106108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.502458655948553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.49241379099678406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.482748151125402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.47344077813504803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.46445670096463004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.4557964115755621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.44742736334405125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.43934547266881013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.4315300450160771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.4239599389067522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012411254019295548,0.0,0.0,0.0,0.0,0.0,0.0,0.00602437942122197,0.0,0.0
64,0.41663489389067515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005140385852089868,0.0,0.0,0.0,0.0,0.0,0.0,0.019092334405144684,0.0,0.0
65,0.40953833762057873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011241221864952133,0.0,0.0,0.0,0.0,0.0,0.0,0.03640950482315103,0.0,0.0
66,0.402659073954984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019591028938906185,0.0,0.0,0.0,0.0,0.0,0.0,0.05703087459807071,0.0,0.0
67,0.3959921672025721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034454276527330907,0.0,0.0,0.0,0.0,0.0,0.0,0.08204238263665625,0.0,0.0
68,0.3895125048231512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00548742122186513,0.0,0.0,0.0,0.0,0.0,0.0,0.11081247588424425,0.0,0.0
