,eta,e-going theta [degree],Au-coated beam chamber,Barrel silicon,Barrel muRwell,Forward/backward silicon,Forward/backward MPGD,mRICH AeroGel,Barrel AC-LGAD,Forward AC-LGAD,Dual RICH,Backward AC-LGAD,Backward EMCal,Inner det. spt./service,DIRC,BECal,Active BCal Support,SC Magnet,Barrel HCal,Backward Field Return,Forward EMCal,Forward LHCal
477,-1.9150009015929945,16.763499999999993,0.009562830000000019,0.0017342700000000343,0.0,0.006015399999999994,0.0,0.07677642797427642,0.0,0.0,0.0,0.06560662572347266,21.79311537877814,0.6711057877813573,2.267977170418007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,-1.9100023986889108,16.846299999999985,0.009517170000000045,0.0017260299999999618,0.0,0.00601800000000006,0.0,0.07555506527331185,0.0,0.0,0.0,0.06583173215434085,21.819888336977478,0.66793151125405,2.1582964630224915,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,-1.9049977261215965,16.929599999999994,0.009471739999999961,0.0017177600000000091,0.0,0.006020700000000077,0.0,0.07681884340836002,0.0,0.0,0.0,0.06484225176848882,21.830957000643085,0.6647688102893987,2.052991961414783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,-1.899999005395568,17.013199999999983,0.009426550000000023,0.0017095499999999469,0.0,0.006023400000000028,0.0,0.07935157170418014,0.0,0.0,0.0,0.06499907041800634,21.84606895755627,0.66163472668811,1.9477527331189535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481,-1.895000317992532,17.097199999999987,0.009381600000000061,0.0017013999999999935,0.0,0.006026099999999885,0.0,0.08041058295819942,0.0,0.0,0.0,0.06497433762057873,21.863161284887468,0.658505466237937,1.842462057877814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482,-1.8900017661130115,17.181600000000003,0.009336880000000061,0.0016933199999999305,0.0,0.006028799999999989,0.0,0.08035988617363343,0.0,0.0,0.0,0.06497407588424443,21.77355816334406,0.655396463022484,1.7372257234726867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483,-1.8849975701136428,17.266500000000008,0.009292400000000053,0.0016851999999998955,0.0,0.0060316000000001126,0.0,0.08077305980707393,0.0,0.0,0.0,0.0672547199356913,21.4688967823151,0.9679385852090014,1.6319173633440656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484,-1.8799996172245217,17.351699999999994,0.009248149999999938,0.0016772500000001161,0.0,0.006034300000000013,0.0,0.07969308231511249,0.0,0.0,0.0,0.06798077009646301,20.97251146366559,1.5861141479099743,1.5265887459806926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
485,-1.875002096380708,17.437299999999993,0.009204120000000024,0.0016692799999999258,0.0,0.0060370999999999585,0.0,0.07994884276527338,0.0,0.0,0.0,0.06663282282958193,20.290412336012874,2.2019398713826277,1.4213054662379356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,-1.8699993066020357,17.52339999999998,0.009160329999999973,0.0016612700000000029,0.0,0.006040100000000038,0.0,0.08166863665594859,0.0,0.0,0.0,0.06661088360128625,19.419085467845665,2.4331668810289457,1.3158942122186232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,-1.8649971936677299,17.609899999999982,0.009116770000000003,0.0016534300000000338,0.0,0.0060428999999999535,0.0,0.08597213890675248,0.0,0.0,0.0,0.06595366109324757,18.415509974598056,2.4309964630225274,1.2104115755626879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,-1.8600015912015095,17.69670000000002,0.009073439999999995,0.0016455599999999557,0.0,0.006045799999999938,0.0,0.08813561093247597,0.0,0.0,0.0,0.06580041704180058,17.32785897909969,2.4288482315112425,1.1048881028939235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489,-1.8550010791506282,17.783999999999992,0.009030329999999986,0.0016377700000000696,0.0,0.006048700000000056,0.0,0.08805358713826354,0.0,0.0,0.0,0.06569375434083612,16.253740038585217,2.426722186495166,0.9992803858520993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,-1.850001515457687,17.871700000000004,0.008987449999999944,0.0026826499999999913,0.0,0.006051700000000106,0.0,0.08858901093247591,0.0,0.0,0.0,0.06598209260450148,15.182427353697744,2.4246282958199252,0.8936379421221972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491,-1.8449973272831448,17.959900000000005,0.00894479000000002,0.0032444099999999077,0.0,0.006054800000000159,0.0,0.09057366945337614,0.0,0.0,0.0,0.06591738102893893,14.098652730868174,2.4225511254019274,0.7877983922829372,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492,-1.8399999477504176,18.048400000000015,0.00890236,0.0032290399999999313,0.0,0.006057800000000137,0.0,0.09105226173633436,0.0,0.0,0.0,0.06566979710610941,13.027278290996787,2.1150905144694594,0.6818601286173447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493,-1.8349981673712097,18.137400000000014,0.008860149999999975,0.0032137499999999788,0.0,0.006060800000000088,0.0,0.0914077469453376,0.0,0.0,0.0,0.06564234630225078,11.948637521864951,1.4862820900321623,0.5759062700964748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494,-1.8299977288016838,18.226799999999997,0.008818160000000007,0.003198540000000088,0.0,0.006063899999999893,0.0,0.09140742025723479,0.0,0.0,0.0,0.06506510450160752,10.879409833440512,0.8598272668810427,0.48349186495175545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495,-1.8249987130234857,18.316599999999994,0.008776389999999976,0.0031833099999999375,0.0,0.006067200000000064,0.0,0.0897494684887459,0.0,0.0,0.0,0.06528320868167203,9.80884412057877,0.6164364951768526,0.43345971061094346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
496,-1.8200011995730045,18.406800000000004,0.008734839999999959,0.0031682600000000876,0.0,0.006070299999999839,0.0,0.0905596556270097,0.0,0.0,0.0,0.06520476527331194,8.76632346527332,0.6135488102893802,0.4081231511253893,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497,-1.8149997653417878,18.497500000000002,0.008693510000000038,0.003153289999999899,0.0,0.006073500000000153,0.0,0.08929617234726678,0.0,0.0,0.0,0.06513901479099679,7.715370718649519,0.6106733440514578,0.40149517684886504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,-1.8100000402423393,18.588599999999985,0.008652399999999935,0.0031384000000000568,0.0,0.0060767000000000754,0.0,0.08938639871382638,0.0,0.0,0.0,0.06748449292604501,6.660610740192925,0.6078160771704164,0.39959623794212806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,-1.805002099135719,18.68009999999998,0.008611500000000051,0.003123499999999892,0.0,0.006080100000000033,0.0,0.08838067974276526,0.0,0.0,0.0,0.06814494083601291,5.608814809967845,0.6049740514469457,0.3977067202572364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,-1.8000005919234463,18.772099999999995,0.00857082000000005,0.0031087799999998805,0.0,0.006083300000000144,0.0,0.08654474501607715,0.0,0.0,0.0,0.06673973954983933,4.550487731189716,0.6021458810289317,0.39582919614147993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501,-1.79500106548907,18.86450000000002,0.008530350000000016,0.0030940500000000443,0.0,0.006086699999999888,0.0,0.08714749517684892,0.0,0.0,0.0,0.06593943247588424,3.4951013077170447,0.5399207739549823,0.39396018649517384,0.00010078456591955387,0.0,0.0,0.0,0.0,0.0,0.0
502,-1.7899982176820295,18.957400000000007,0.008490099999999957,0.0030795000000000874,0.0,0.0060899999999999566,0.0,0.08678699967845659,0.0,0.0,0.0,0.06655632829581996,2.4742915639871383,0.5368094308681672,0.3921013826366533,0.000626745980708332,0.0,0.0,0.0,0.0,0.0,0.0
